input,hpo_strategy,f1_score,evaluation_time
Ereno,HyperOpt,0.941689,27.00727391242981
Ereno,Hyperband,0.94141,17.37493920326233
Ereno,GraspHpo,0.9414319223853695,52.80298972129822
Ereno,None,0.9411531168736756,1.0900006294250488
Breast Cancer,HyperOpt,0.947087,15.587799787521362
Breast Cancer,Hyperband,0.946397,13.520161151885986
Breast Cancer,GraspHpo,0.9554882874504246,1.881990671157837
Breast Cancer,None,0.9645092460881936,0.0540003776550293
Digits,HyperOpt,0.952906,16.604923248291016
Digits,Hyperband,0.941802,14.94370722770691
Digits,GraspHpo,0.9806542392501237,15.890995264053345
Digits,None,0.9721954193792556,0.3640005588531494
Iris,HyperOpt,0.967282,15.49186110496521
Iris,Hyperband,0.967282,14.631017684936523
Iris,GraspHpo,0.9672820512820512,2.806999444961548
Iris,None,0.9325622445187662,0.05299949645996094
Wine,HyperOpt,0.972146,15.424909114837646
Wine,Hyperband,1.0,14.137950658798218
Wine,GraspHpo,0.9721455938697319,1.8790042400360107
Wine,None,0.9721455938697319,0.06399774551391602
