input,hpo_strategy,f1_score
Breast Cancer,HyperOptSVC,0.9649122807017544
Breast Cancer,BOHBSVC,0.9649122807017544
Breast Cancer,HyperbandSVC,0.956244993396696
Breast Cancer,GraspHpoSVC,0.9736164257756981
Iris,HyperOptSVC,0.9672820512820512
Iris,BOHBSVC,1.0
Iris,HyperbandSVC,1.0
Iris,GraspHpoSVC,1.0
Wine,HyperOptSVC,1.0
Wine,BOHBSVC,1.0
Wine,HyperbandSVC,1.0
Wine,GraspHpoSVC,1.0
Digits,HyperOptSVC,0.9335594883192231
Digits,BOHBSVC,0.9331898835397728
Digits,HyperbandSVC,0.9254158593804522
Digits,GraspHpoSVC,0.947363369484977
